Year,Engine_Size,Mileage,Fuel_Type,Transmission,Price
2009,4.0,35778,Petrol,Automatic,11584
2022,3.1,263472,Electric,Semi-Automatic,10530
2005,1.7,289249,Diesel,Semi-Automatic,2000
2018,3.1,228898,Electric,Automatic,11522
2001,3.4,213010,Hybrid,Semi-Automatic,4539
2008,3.3,265865,Electric,Automatic,7982
2023,1.5,106184,Hybrid,Semi-Automatic,11376
2005,4.8,218684,Hybrid,Semi-Automatic,7026
2017,2.3,189243,Hybrid,Automatic,10215
2006,4.7,15561,Petrol,Automatic,11788
2017,3.0,282260,Diesel,Semi-Automatic,6554
2021,4.8,162038,Diesel,Semi-Automatic,11959
2003,3.6,115892,Petrol,Semi-Automatic,6282
2017,2.5,141628,Hybrid,Automatic,11367
2019,4.0,273967,Hybrid,Semi-Automatic,9320
2023,2.8,54576,Diesel,Automatic,14208
2022,1.5,109408,Electric,Semi-Automatic,12011
2002,3.1,272668,Petrol,Automatic,3846
2000,1.8,69308,Petrol,Automatic,6013
2022,2.2,79502,Petrol,Manual,11309
2017,4.8,77522,Diesel,Manual,12449
2015,2.4,31711,Hybrid,Semi-Automatic,11365
2006,3.6,107093,Petrol,Automatic,8858
2005,2.7,205507,Diesel,Automatic,5689
2018,1.4,92010,Hybrid,Automatic,11559
2007,1.9,4478,Petrol,Semi-Automatic,8010
2015,2.8,286325,Hybrid,Manual,6673
2005,1.1,210763,Petrol,Automatic,3984
2001,1.2,265854,Diesel,Semi-Automatic,2000
2017,1.1,240120,Diesel,Semi-Automatic,5497
2017,1.8,54765,Hybrid,Manual,10904
2008,4.0,90251,Electric,Manual,10694
2017,3.6,248268,Electric,Semi-Automatic,9834
2004,2.8,168251,Hybrid,Manual,5734
2018,1.1,174665,Electric,Semi-Automatic,9106
2016,1.4,216284,Diesel,Automatic,7474
2013,1.1,144900,Diesel,Semi-Automatic,6202
2003,1.3,89728,Electric,Manual,6505
2013,2.7,10769,Hybrid,Semi-Automatic,11484
2003,3.4,206616,Petrol,Manual,4267
2009,1.7,255091,Hybrid,Semi-Automatic,4398
2007,3.5,238600,Hybrid,Semi-Automatic,5928
2008,1.0,120850,Petrol,Automatic,6583
2001,2.6,212873,Electric,Manual,4742
2001,1.4,196294,Electric,Semi-Automatic,3874
2011,4.5,297338,Petrol,Automatic,7453
2004,1.1,42308,Electric,Manual,7553
2007,1.6,186107,Electric,Semi-Automatic,6077
2011,2.2,133652,Diesel,Semi-Automatic,6926
2019,3.6,75115,Electric,Manual,13897
2011,2.6,122235,Diesel,Manual,7555
2016,3.8,289487,Hybrid,Semi-Automatic,7910
2005,3.5,31448,Hybrid,Manual,9471
2013,3.1,225596,Petrol,Manual,6588
2018,2.5,126221,Petrol,Automatic,10975
2011,2.4,95255,Electric,Manual,9894
2020,2.9,299471,Electric,Manual,9010
2005,2.5,77298,Diesel,Semi-Automatic,6554
2018,4.8,111035,Electric,Manual,14079
2001,4.6,145289,Hybrid,Automatic,8594
2003,4.8,210016,Hybrid,Manual,6599
2023,1.7,164639,Petrol,Manual,9407
2010,4.2,58152,Electric,Manual,12136
2012,2.4,188235,Petrol,Automatic,7835
2020,1.2,257957,Petrol,Manual,6140
2000,2.7,245909,Petrol,Manual,2000
2023,3.7,94331,Hybrid,Automatic,15313
2020,2.3,33738,Diesel,Semi-Automatic,11725
2003,3.2,257236,Hybrid,Automatic,5555
2001,4.4,51568,Diesel,Semi-Automatic,7768
2002,1.8,52853,Hybrid,Semi-Automatic,6442
2018,4.7,162547,Electric,Automatic,14449
2016,3.8,1669,Diesel,Automatic,14166
2012,3.0,262444,Hybrid,Manual,6451
2002,1.3,149130,Petrol,Semi-Automatic,3017
2010,1.4,135385,Hybrid,Semi-Automatic,6792
2018,3.8,275723,Hybrid,Automatic,10285
2012,2.7,290079,Electric,Automatic,8098
2015,1.3,211781,Electric,Manual,7664
2017,4.6,228920,Diesel,Semi-Automatic,9221
2004,2.0,149547,Hybrid,Semi-Automatic,5309
2020,2.7,11995,Diesel,Manual,12560
2017,1.1,15401,Petrol,Semi-Automatic,9991
2012,1.9,48209,Diesel,Automatic,10135
2007,1.0,248712,Electric,Manual,4225
2004,3.0,28122,Diesel,Semi-Automatic,7737
2001,1.4,68251,Electric,Manual,6434
2016,3.3,20770,Electric,Automatic,15284
2014,2.2,233223,Diesel,Manual,5835
2018,3.0,151336,Hybrid,Automatic,11973
2015,4.9,247813,Diesel,Semi-Automatic,8543
2016,4.1,208645,Diesel,Automatic,10327
2017,4.5,17255,Hybrid,Automatic,15854
2001,4.5,92101,Diesel,Manual,7057
2021,4.3,261682,Petrol,Automatic,10966
2011,2.4,20402,Hybrid,Semi-Automatic,10391
2010,1.1,5010,Diesel,Semi-Automatic,8099
2005,2.0,161604,Electric,Manual,6367
2011,3.1,253949,Electric,Automatic,8921
2008,3.6,228614,Petrol,Manual,5527
2018,1.1,261519,Hybrid,Manual,6369
2010,1.7,50086,Electric,Semi-Automatic,9798
2006,4.0,81343,Electric,Manual,10273
2000,3.6,207815,Electric,Manual,5543
2011,1.9,128781,Diesel,Semi-Automatic,6724
2003,3.9,115187,Electric,Automatic,10096
2015,3.4,86477,Petrol,Manual,10270
2002,3.2,202171,Petrol,Semi-Automatic,3856
2013,2.3,258356,Electric,Automatic,8632
2006,2.4,97313,Petrol,Manual,6353
2016,4.5,45288,Diesel,Semi-Automatic,12494
2018,1.9,61578,Diesel,Automatic,11668
2019,1.4,184971,Diesel,Semi-Automatic,7500
2004,1.2,205648,Petrol,Manual,2387
2002,2.3,3918,Petrol,Semi-Automatic,6921
2007,1.5,248323,Diesel,Automatic,4233
2014,4.4,200652,Diesel,Automatic,10186
2023,3.4,232648,Hybrid,Manual,10747
2007,1.8,262030,Hybrid,Automatic,5259
2008,1.0,254204,Diesel,Manual,2415
2016,2.9,203018,Hybrid,Manual,8739
2013,2.8,193602,Diesel,Automatic,8427
2001,4.2,120246,Electric,Manual,8195
2012,4.9,78173,Hybrid,Manual,12036
2014,3.6,131763,Petrol,Manual,9264
2013,2.0,287834,Petrol,Manual,4243
2013,3.8,48409,Diesel,Automatic,12331
2009,3.5,204765,Petrol,Automatic,7704
2020,2.3,124582,Electric,Manual,11908
2017,3.0,192940,Petrol,Manual,8341
2019,4.6,45408,Hybrid,Semi-Automatic,14491
2012,3.1,87425,Electric,Automatic,12551
2022,4.1,31949,Electric,Automatic,17661
2009,1.3,16154,Petrol,Automatic,9276
2012,3.4,275152,Diesel,Manual,5596
2021,1.4,129843,Hybrid,Automatic,11703
2018,2.8,147851,Electric,Manual,11342
2007,3.8,92810,Hybrid,Semi-Automatic,9143
2022,1.5,68067,Diesel,Semi-Automatic,10838
2008,2.7,53507,Diesel,Automatic,9629
2010,4.5,16652,Hybrid,Automatic,13766
2005,2.6,188993,Diesel,Semi-Automatic,4420
2023,2.3,4398,Electric,Automatic,16712
2010,4.3,132464,Hybrid,Semi-Automatic,9750
2019,2.5,145875,Electric,Manual,11382
2021,3.5,192966,Diesel,Semi-Automatic,10040
2019,2.5,180369,Hybrid,Manual,9692
2002,1.2,131811,Hybrid,Automatic,5763
2015,5.0,2683,Hybrid,Semi-Automatic,14546
2015,3.7,264521,Petrol,Semi-Automatic,7009
2019,3.0,210129,Electric,Manual,10597
2017,1.5,257638,Petrol,Manual,5547
2002,1.2,211790,Petrol,Manual,2000
2009,3.9,159229,Electric,Manual,9515
2003,1.2,226960,Electric,Manual,3660
2002,2.9,286072,Diesel,Manual,2000
2000,1.0,103206,Diesel,Semi-Automatic,3035
2000,2.0,242282,Hybrid,Semi-Automatic,2254
2006,3.3,242693,Electric,Manual,6346
2011,2.3,113764,Diesel,Semi-Automatic,7424
2016,2.1,253096,Diesel,Automatic,7438
2017,1.4,95534,Petrol,Semi-Automatic,8689
2002,2.9,55509,Diesel,Automatic,7989
2011,3.0,147140,Hybrid,Semi-Automatic,8457
2012,1.3,93988,Diesel,Semi-Automatic,7120
2011,4.4,271772,Hybrid,Automatic,8864
2015,2.4,235714,Hybrid,Manual,7285
2015,4.9,124760,Hybrid,Semi-Automatic,12004
2001,3.0,221519,Diesel,Automatic,4469
2009,3.3,122701,Diesel,Semi-Automatic,7645
2016,4.0,135623,Hybrid,Automatic,12687
2020,3.7,244645,Hybrid,Manual,9907
2000,1.8,279537,Diesel,Manual,2000
2011,1.0,225450,Diesel,Semi-Automatic,3891
2006,2.7,35544,Petrol,Automatic,9389
2005,4.2,17264,Hybrid,Automatic,11954
2010,3.2,27779,Petrol,Automatic,11244
2013,5.0,41303,Electric,Automatic,15673
2023,3.9,233808,Electric,Manual,12223
2005,3.9,296359,Electric,Semi-Automatic,5572
2000,1.2,7576,Electric,Manual,7148
2002,2.2,157490,Electric,Automatic,7250
2007,4.2,172370,Diesel,Semi-Automatic,6952
2022,4.7,170236,Diesel,Semi-Automatic,11995
2008,1.6,44985,Diesel,Automatic,8700
2003,4.7,60361,Diesel,Semi-Automatic,8492
2000,2.2,174062,Hybrid,Manual,3818
2002,3.5,42531,Electric,Manual,9349
2020,1.6,46525,Petrol,Automatic,12269
2016,2.4,160395,Petrol,Manual,8092
2001,3.9,54484,Diesel,Automatic,8710
2018,3.4,152401,Petrol,Manual,9851
2023,2.6,273840,Hybrid,Manual,9123
2021,2.7,181615,Diesel,Semi-Automatic,9467
2013,1.1,70756,Petrol,Automatic,9184
2013,2.0,279322,Diesel,Automatic,5913
2012,1.1,88523,Electric,Semi-Automatic,9029
2010,2.8,129441,Electric,Automatic,10811
2013,4.1,205001,Diesel,Manual,7999
2011,3.8,123345,Diesel,Automatic,10233
2010,1.8,284378,Diesel,Manual,3212
2016,3.2,85000,Diesel,Semi-Automatic,10400
2005,1.8,161998,Electric,Automatic,7660
2005,3.7,230850,Electric,Semi-Automatic,6683
2022,3.8,68244,Petrol,Automatic,14635
2000,3.4,100297,Hybrid,Automatic,7994
2014,2.1,200967,Diesel,Manual,6380
2000,4.6,290821,Diesel,Semi-Automatic,2883
2004,3.2,201279,Hybrid,Automatic,6974
2011,2.3,186140,Hybrid,Manual,6977
2012,1.3,110716,Electric,Automatic,10285
2007,1.4,91339,Petrol,Manual,5773
2022,3.3,233451,Petrol,Automatic,10830
2008,4.8,150832,Diesel,Semi-Automatic,8283
2003,1.3,52894,Electric,Semi-Automatic,7242
2020,2.7,179934,Diesel,Automatic,10701
2001,2.3,262977,Diesel,Automatic,2940
2022,3.0,55945,Hybrid,Automatic,15081
2014,4.5,167035,Hybrid,Manual,10459
2020,1.9,202766,Hybrid,Automatic,10444
2010,4.1,176973,Hybrid,Manual,8660
2015,2.1,247108,Electric,Automatic,9257
2014,5.0,185806,Hybrid,Semi-Automatic,10583
2021,2.4,42569,Diesel,Manual,11948
2023,1.6,242697,Diesel,Semi-Automatic,7746
2014,1.7,124805,Electric,Automatic,11003
2017,1.4,31301,Diesel,Manual,9973
2021,4.8,277838,Petrol,Semi-Automatic,9643
2022,1.7,210126,Diesel,Automatic,9697
2008,4.3,155522,Diesel,Automatic,9189
2011,4.5,95736,Petrol,Manual,9985
2002,4.0,201169,Petrol,Automatic,6176
2018,4.4,202720,Electric,Semi-Automatic,11845
2022,1.3,32421,Diesel,Semi-Automatic,11351
2003,3.7,74560,Diesel,Automatic,8708
2020,1.2,153614,Electric,Automatic,11727
2016,1.7,249622,Petrol,Manual,5607
2009,1.3,279749,Electric,Semi-Automatic,4505
2010,2.1,276357,Electric,Manual,5672
2001,3.1,39292,Petrol,Automatic,8214
2010,3.8,149913,Diesel,Semi-Automatic,7901
2006,3.4,74188,Electric,Automatic,11316
2003,1.2,11817,Diesel,Manual,5963
2021,4.7,231318,Petrol,Manual,10473
2013,2.8,91312,Diesel,Semi-Automatic,8973
2008,1.4,62819,Petrol,Semi-Automatic,6643
2012,1.4,70485,Electric,Automatic,11190
2016,2.7,257462,Petrol,Manual,6450
2010,2.5,95716,Electric,Automatic,11185
2014,4.0,113849,Diesel,Manual,10023
2000,2.8,107891,Diesel,Manual,4742
2002,3.4,3252,Diesel,Manual,8034
2006,3.6,29478,Hybrid,Manual,9910
2020,4.3,10842,Petrol,Semi-Automatic,14183
2009,4.2,247601,Diesel,Semi-Automatic,6047
2009,1.4,248906,Electric,Automatic,6721
2002,4.7,105943,Petrol,Manual,7281
2022,2.8,173298,Petrol,Semi-Automatic,10034
2004,2.5,298642,Electric,Manual,3827
2006,3.4,61327,Hybrid,Manual,9073
2017,1.8,163677,Petrol,Manual,7726
2018,1.6,131223,Petrol,Automatic,9975
2021,2.9,106349,Diesel,Semi-Automatic,11173
2006,3.2,107059,Hybrid,Automatic,9458
2008,2.4,5844,Diesel,Automatic,10283
2005,4.8,145771,Electric,Semi-Automatic,9484
2013,3.6,217426,Diesel,Manual,7251
2007,2.9,139422,Diesel,Automatic,7811
2013,2.0,200202,Electric,Semi-Automatic,7995
2021,2.5,209436,Hybrid,Semi-Automatic,9711
2012,1.3,289461,Electric,Manual,5210
2005,3.2,298890,Petrol,Semi-Automatic,2822
2005,2.3,151459,Petrol,Automatic,6370
2009,4.1,96287,Electric,Automatic,12474
2022,2.1,52526,Electric,Manual,13749
2006,2.9,173496,Diesel,Manual,5330
2017,2.4,111282,Petrol,Manual,9374
2002,1.7,230187,Electric,Manual,3796
2023,2.0,62847,Electric,Semi-Automatic,13743
2012,1.7,124324,Electric,Semi-Automatic,8913
2010,4.3,169988,Electric,Manual,10000
2009,1.4,103573,Diesel,Manual,6128
2014,3.4,206819,Diesel,Automatic,9063
2000,1.5,208943,Diesel,Manual,2000
2020,1.9,30074,Petrol,Semi-Automatic,11398
2017,2.5,3381,Petrol,Automatic,13132
2008,2.0,220044,Petrol,Manual,4099
2009,2.9,223777,Petrol,Automatic,6724
2006,1.2,127033,Hybrid,Manual,5559
2015,2.9,31540,Electric,Manual,12869
2021,4.9,74795,Hybrid,Automatic,16304
2003,4.2,272876,Electric,Manual,5742
2021,1.5,270383,Electric,Automatic,9992
2008,2.6,44794,Electric,Automatic,11704
2017,3.9,157946,Hybrid,Semi-Automatic,10941
2001,4.7,154159,Electric,Manual,8016
2006,3.1,194340,Diesel,Semi-Automatic,5113
2008,1.5,29852,Diesel,Manual,7402
2008,2.6,161537,Diesel,Automatic,7369
2015,1.4,243771,Electric,Semi-Automatic,7124
2014,2.7,69430,Electric,Automatic,13111
2004,3.6,64005,Petrol,Manual,7619
2016,4.0,95719,Hybrid,Automatic,13485
2017,4.0,247267,Electric,Manual,10254
2007,2.8,14764,Electric,Manual,10704
2000,2.8,261003,Petrol,Manual,2000
2003,2.1,150597,Electric,Automatic,7588
2005,2.5,62423,Electric,Automatic,10351
2011,1.1,29405,Electric,Manual,9911
2015,4.0,13533,Electric,Manual,14329
2007,1.9,203974,Electric,Semi-Automatic,6020
2022,4.4,275626,Electric,Automatic,13087
2016,3.6,279916,Diesel,Automatic,8401
2018,4.0,85467,Petrol,Semi-Automatic,11790
2014,1.4,123101,Hybrid,Semi-Automatic,8237
2023,2.2,225321,Diesel,Automatic,10193
2021,1.8,221393,Electric,Automatic,11272
2004,1.1,105901,Hybrid,Automatic,6781
2004,1.3,144910,Hybrid,Semi-Automatic,4701
2002,4.7,57129,Hybrid,Manual,9257
2007,2.4,63346,Petrol,Automatic,8833
2005,2.4,45740,Diesel,Semi-Automatic,7085
2012,1.8,32063,Petrol,Semi-Automatic,8858
2005,1.7,200007,Hybrid,Manual,4299
2011,4.4,122108,Diesel,Manual,9357
2003,4.2,234654,Petrol,Manual,4506
2021,2.8,99088,Hybrid,Semi-Automatic,12218
2000,2.3,222441,Hybrid,Semi-Automatic,2951
2015,4.2,45451,Diesel,Automatic,13390
2016,3.8,246841,Petrol,Manual,7763
2007,4.0,296917,Petrol,Automatic,5761
2006,3.3,143776,Hybrid,Semi-Automatic,7324
2016,4.5,112950,Petrol,Semi-Automatic,11141
2011,4.7,35398,Electric,Manual,13392
2001,3.3,24321,Hybrid,Manual,8213
2017,2.0,107525,Diesel,Semi-Automatic,9049
2010,1.6,24051,Electric,Automatic,11718
2007,2.7,270043,Petrol,Automatic,4999
2015,2.6,154031,Petrol,Automatic,9619
2007,4.0,28099,Electric,Automatic,13138
2000,1.9,217166,Petrol,Automatic,3156
2021,2.5,216994,Petrol,Manual,8560
2007,2.7,246486,Petrol,Manual,3970
2008,1.5,152898,Petrol,Automatic,6442
2023,3.1,51711,Hybrid,Semi-Automatic,14065
2012,4.8,8891,Petrol,Semi-Automatic,12322
2009,3.7,224217,Hybrid,Semi-Automatic,7015
2015,1.4,9400,Petrol,Automatic,11312
2010,2.6,52378,Electric,Automatic,12152
2022,3.0,165456,Petrol,Manual,10390
2023,2.9,239768,Hybrid,Semi-Automatic,10104
2008,3.9,137257,Electric,Semi-Automatic,9654
2020,1.5,235169,Diesel,Semi-Automatic,6896
2003,4.8,4324,Electric,Automatic,13213
2002,2.3,35718,Petrol,Semi-Automatic,6285
2004,4.1,273351,Diesel,Automatic,5432
2017,3.0,169333,Diesel,Manual,8813
2000,1.4,127902,Hybrid,Automatic,5441
2022,2.2,13951,Electric,Semi-Automatic,14620
2020,2.5,62813,Electric,Manual,13343
2001,1.2,122361,Electric,Semi-Automatic,5152
2004,1.0,274984,Diesel,Automatic,2300
2005,3.3,293774,Electric,Manual,5024
2014,3.2,131027,Hybrid,Manual,9879
2011,2.8,140109,Electric,Automatic,10897
2008,2.5,265803,Diesel,Manual,3683
2020,2.2,148075,Hybrid,Semi-Automatic,10338
2018,3.9,215744,Petrol,Manual,9085
2008,3.8,293122,Electric,Manual,6437
2003,3.4,3533,Petrol,Semi-Automatic,8329
2004,4.2,48634,Petrol,Automatic,10027
2009,1.2,123996,Hybrid,Semi-Automatic,6520
2011,2.4,60114,Petrol,Manual,8597
2016,1.7,79718,Petrol,Automatic,10505
2018,2.2,217000,Electric,Semi-Automatic,9360
2023,2.7,156170,Petrol,Semi-Automatic,10576
2012,1.5,241016,Electric,Automatic,7879
2013,1.3,296027,Diesel,Automatic,4879
2014,2.9,19288,Electric,Automatic,14314
2015,2.7,50686,Petrol,Semi-Automatic,10286
2012,4.1,133687,Electric,Manual,11126
2004,4.9,47611,Diesel,Semi-Automatic,9247
2015,2.1,217276,Hybrid,Manual,7354
2011,2.8,232046,Electric,Manual,7559
2022,1.6,207317,Petrol,Manual,8153
2008,4.5,264110,Electric,Semi-Automatic,7717
2017,4.8,259436,Hybrid,Semi-Automatic,9811
2009,4.6,289840,Hybrid,Manual,6603
2009,1.4,72678,Hybrid,Automatic,9246
2011,3.7,122465,Diesel,Manual,8650
2021,2.0,175090,Diesel,Automatic,10398
2013,4.9,155541,Petrol,Automatic,11289
2011,4.0,145370,Petrol,Semi-Automatic,8492
2000,1.1,220988,Electric,Automatic,4280
2013,2.8,140316,Hybrid,Manual,8993
2004,3.6,249866,Electric,Automatic,7402
2016,3.0,40193,Petrol,Manual,11096
2006,1.5,265157,Hybrid,Manual,3096
2023,4.2,91363,Diesel,Automatic,14872
2018,2.6,255077,Hybrid,Automatic,9498
2021,3.3,291237,Electric,Semi-Automatic,9875
2006,2.5,78706,Diesel,Semi-Automatic,6825
2010,3.5,67470,Petrol,Semi-Automatic,9250
2009,1.0,8196,Electric,Automatic,11136
2011,1.9,32813,Electric,Manual,10643
2000,3.4,128068,Hybrid,Manual,5938
2022,4.4,9320,Diesel,Manual,14913
2017,2.5,34193,Diesel,Semi-Automatic,11016
2020,1.4,139088,Electric,Automatic,12218
2001,4.9,110844,Petrol,Manual,7083
2015,3.8,210696,Petrol,Manual,8186
2010,2.9,13906,Diesel,Semi-Automatic,9721
2005,4.5,228423,Electric,Automatic,9031
2008,1.0,260882,Petrol,Semi-Automatic,2282
2016,2.5,47183,Electric,Automatic,13956
2013,3.6,209772,Electric,Manual,9404
2004,4.7,60828,Electric,Manual,10783
2022,1.8,40030,Hybrid,Manual,12699
2010,3.7,149055,Diesel,Manual,7818
2014,2.5,110792,Petrol,Automatic,10084
2009,4.8,241980,Diesel,Semi-Automatic,6760
2019,3.3,130376,Electric,Manual,12492
2018,2.8,109738,Diesel,Automatic,11605
2005,1.2,23847,Hybrid,Automatic,8823
2018,4.1,292571,Electric,Semi-Automatic,9748
2016,5.0,253812,Electric,Automatic,12323
2007,4.5,266174,Petrol,Automatic,6876
2016,3.8,69756,Hybrid,Manual,12304
2001,1.9,83696,Diesel,Automatic,6126
2011,2.5,298476,Electric,Automatic,7430
2019,2.6,21179,Electric,Semi-Automatic,13976
2006,3.7,209680,Diesel,Semi-Automatic,5406
2002,4.6,103548,Hybrid,Manual,8229
2019,2.1,108750,Electric,Manual,11725
2013,4.1,24882,Electric,Semi-Automatic,13602
2002,2.7,138030,Diesel,Manual,4639
2019,2.9,246123,Hybrid,Semi-Automatic,8777
2013,1.7,226767,Petrol,Semi-Automatic,5164
2014,4.5,207887,Diesel,Automatic,10142
2007,2.5,241571,Electric,Manual,5868
2003,2.6,87872,Hybrid,Automatic,8342
2005,1.6,169966,Hybrid,Manual,4800
2000,2.0,158419,Diesel,Manual,2931
2005,2.9,269554,Petrol,Manual,3108
2011,4.3,67882,Hybrid,Automatic,12842
2014,4.0,30004,Diesel,Manual,11699
2005,1.2,191537,Diesel,Automatic,4469
2009,1.1,11510,Hybrid,Manual,8669
2004,1.9,78774,Hybrid,Automatic,8124
2014,1.6,170677,Diesel,Semi-Automatic,6486
2019,1.9,247738,Electric,Semi-Automatic,8745
2017,1.4,14575,Diesel,Manual,10308
2007,3.1,187954,Petrol,Semi-Automatic,5540
2014,3.2,270876,Electric,Manual,8082
2021,5.0,183606,Petrol,Manual,11727
2002,3.1,146775,Hybrid,Manual,5864
2003,3.8,271544,Electric,Semi-Automatic,5369
2018,2.0,224940,Hybrid,Manual,8001
2016,1.6,174255,Electric,Automatic,10514
2022,4.8,213016,Electric,Automatic,14739
2017,2.0,279542,Electric,Automatic,9109
2020,1.9,289391,Electric,Semi-Automatic,8212
2007,2.1,98341,Diesel,Manual,6333
2015,2.1,295917,Electric,Manual,6781
2023,3.2,239837,Hybrid,Automatic,11903
2003,1.5,167768,Diesel,Manual,3144
2022,3.5,185444,Diesel,Automatic,11991
2017,4.3,71564,Petrol,Manual,12068
2009,1.4,55857,Electric,Manual,9082
2003,2.9,235296,Petrol,Manual,3194
2013,4.4,144737,Petrol,Semi-Automatic,9505
2012,4.9,270529,Petrol,Automatic,8689
2023,3.2,274305,Petrol,Semi-Automatic,8713
2021,1.8,261022,Electric,Automatic,10479
2018,1.6,16937,Hybrid,Automatic,13261
2006,2.9,86497,Petrol,Automatic,8570
2023,2.8,186725,Electric,Manual,12065
2007,3.6,174326,Petrol,Semi-Automatic,6313
2004,3.4,187570,Diesel,Manual,4948
2017,1.8,238729,Electric,Manual,8225
2014,2.5,222808,Diesel,Manual,6343
2020,4.2,187494,Petrol,Manual,10550
2016,4.1,295251,Hybrid,Semi-Automatic,8094
2021,4.1,68393,Diesel,Semi-Automatic,13132
2016,1.6,263320,Hybrid,Automatic,7733
2012,4.7,192319,Petrol,Automatic,10053
2007,2.1,94648,Hybrid,Semi-Automatic,7407
2013,3.7,3133,Hybrid,Semi-Automatic,12637
2005,3.9,83042,Hybrid,Semi-Automatic,8839
2022,2.6,130508,Petrol,Manual,10689
2000,2.0,289423,Petrol,Semi-Automatic,2000
2002,2.3,276693,Electric,Manual,3466
2014,2.9,3243,Diesel,Manual,11135
2015,2.8,92699,Electric,Automatic,13046
2015,2.8,246588,Petrol,Automatic,7968
2010,3.0,43974,Hybrid,Automatic,11720
2020,4.5,165484,Diesel,Semi-Automatic,11290
2007,1.2,245094,Petrol,Semi-Automatic,2498
2014,2.2,88831,Petrol,Semi-Automatic,8723
2014,2.8,262760,Hybrid,Automatic,8344
2001,2.6,123342,Hybrid,Automatic,7033
2008,3.1,261959,Petrol,Manual,4360
2023,4.1,273313,Petrol,Semi-Automatic,9633
2017,2.8,233511,Petrol,Manual,7329
2004,2.8,80740,Diesel,Semi-Automatic,6485
2005,4.7,80337,Hybrid,Semi-Automatic,9693
2011,3.1,90362,Electric,Manual,10692
2012,3.4,282395,Hybrid,Automatic,7952
2011,1.1,195258,Petrol,Automatic,6094
2004,2.2,172373,Electric,Automatic,7552
2016,2.6,246185,Petrol,Semi-Automatic,6576
2003,3.7,78952,Hybrid,Manual,8120
2017,4.5,172313,Hybrid,Automatic,12753
2013,2.7,34649,Hybrid,Automatic,12507
2004,4.8,139871,Petrol,Semi-Automatic,7302
2021,2.9,272066,Diesel,Manual,7858
2014,4.6,53192,Diesel,Manual,11836
2004,3.5,223180,Petrol,Automatic,5836
2016,2.4,156430,Electric,Semi-Automatic,10171
2006,1.2,55653,Diesel,Automatic,7486
2005,2.0,23686,Diesel,Automatic,8626
2002,1.4,122799,Petrol,Manual,3644
2008,3.8,40095,Diesel,Semi-Automatic,9498
2010,4.0,129931,Hybrid,Automatic,11001
2012,2.1,155049,Diesel,Semi-Automatic,6699
2021,2.7,134924,Diesel,Automatic,11901
2018,1.3,48622,Petrol,Automatic,11327
2014,1.1,132424,Hybrid,Automatic,9251
2006,4.6,97345,Diesel,Semi-Automatic,8553
2019,2.9,125586,Electric,Manual,12188
2005,4.7,45664,Hybrid,Manual,10386
2021,3.5,259125,Hybrid,Automatic,11217
2002,4.7,121836,Diesel,Automatic,8463
2001,5.0,130885,Petrol,Semi-Automatic,6782
2021,4.3,199460,Diesel,Automatic,12210
2013,4.7,194077,Diesel,Semi-Automatic,8818
2022,1.1,100576,Hybrid,Semi-Automatic,10788
2001,4.6,60030,Petrol,Semi-Automatic,7799
2011,2.2,1204,Hybrid,Semi-Automatic,10575
2018,1.6,117550,Hybrid,Automatic,11249
2005,2.6,108983,Hybrid,Manual,7020
2000,3.7,127711,Hybrid,Automatic,7745
2011,2.2,212191,Diesel,Manual,5356
2001,2.2,224898,Petrol,Automatic,3602
2014,1.9,123083,Petrol,Automatic,9238
2022,3.0,177872,Electric,Automatic,13642
2017,1.9,295322,Petrol,Automatic,6693
2012,2.1,210734,Diesel,Semi-Automatic,5585
2014,2.5,194179,Hybrid,Semi-Automatic,7916
2018,4.9,23752,Diesel,Manual,13924
2018,3.2,239683,Electric,Manual,9906
2014,2.3,3593,Hybrid,Manual,11528
2002,1.4,41749,Diesel,Automatic,6765
2002,2.2,215636,Hybrid,Manual,3587
2007,2.3,276638,Electric,Automatic,6467
2000,3.5,83835,Electric,Manual,7923
2001,1.6,129239,Diesel,Manual,3415
2014,1.8,108808,Electric,Semi-Automatic,9923
2000,1.8,260652,Electric,Automatic,4186
2018,1.1,297999,Electric,Semi-Automatic,6640
2006,3.2,260053,Hybrid,Automatic,6398
2019,2.4,219203,Petrol,Automatic,9315
2001,4.5,147300,Electric,Semi-Automatic,7954
2007,1.9,8147,Electric,Semi-Automatic,9937
2002,1.5,199749,Hybrid,Automatic,4705
2013,2.7,53830,Hybrid,Semi-Automatic,10623
2017,4.0,231470,Hybrid,Manual,9570
2010,2.9,135920,Electric,Manual,9281
2000,4.4,57645,Hybrid,Manual,8347
2019,4.6,113334,Diesel,Semi-Automatic,12133
2003,2.7,297911,Diesel,Manual,2000
2011,1.9,4408,Petrol,Semi-Automatic,9211
2023,3.4,61514,Hybrid,Manual,14169
2020,2.9,265957,Petrol,Automatic,9180
2009,4.9,187571,Petrol,Manual,7948
2023,3.9,99441,Diesel,Semi-Automatic,12911
2011,2.5,241741,Diesel,Manual,5065
2008,4.0,288161,Petrol,Manual,4736
2000,2.7,121855,Hybrid,Semi-Automatic,5362
2010,1.8,223845,Petrol,Automatic,5923
2005,4.9,256501,Diesel,Manual,5369
2001,3.0,267839,Diesel,Automatic,3543
2010,2.7,170924,Electric,Manual,8381
2003,1.3,106652,Electric,Semi-Automatic,6166
2002,1.1,192750,Hybrid,Manual,2945
